"qudtUri","ucumCode"
"http://qudt.org/vocab/unit/CCY_MNT",NA
"http://qudt.org/vocab/unit/CCY_MOP",NA
"http://qudt.org/vocab/unit/CCY_MRU",NA
"http://qudt.org/vocab/unit/CCY_MTL",NA
"http://qudt.org/vocab/unit/CCY_MUR",NA
"http://qudt.org/vocab/unit/CCY_MVR",NA
"http://qudt.org/vocab/unit/CCY_MWK",NA
"http://qudt.org/vocab/unit/CCY_MXN",NA
"http://qudt.org/vocab/unit/CCY_MXV",NA
"http://qudt.org/vocab/unit/CCY_MYR",NA
"http://qudt.org/vocab/unit/CCY_MZN",NA
"http://qudt.org/vocab/unit/CCY_NAD",NA
"http://qudt.org/vocab/unit/CCY_NGN",NA
"http://qudt.org/vocab/unit/CCY_NIO",NA
"http://qudt.org/vocab/unit/CCY_NOK",NA
"http://qudt.org/vocab/unit/CCY_NOK-PER-KiloW-HR",NA
"http://qudt.org/vocab/unit/CCY_NPR",NA
"http://qudt.org/vocab/unit/CCY_NZD",NA
"http://qudt.org/vocab/unit/CCY_OMR",NA
"http://qudt.org/vocab/unit/CCY_PAB",NA
"http://qudt.org/vocab/unit/CCY_PEN",NA
"http://qudt.org/vocab/unit/CCY_PGK",NA
"http://qudt.org/vocab/unit/CCY_PHP",NA
"http://qudt.org/vocab/unit/CCY_PKR",NA
"http://qudt.org/vocab/unit/CCY_PLN",NA
"http://qudt.org/vocab/unit/CCY_PLN-PER-KiloW-HR",NA
"http://qudt.org/vocab/unit/CCY_PYG",NA
"http://qudt.org/vocab/unit/CCY_QAR",NA
"http://qudt.org/vocab/unit/CCY_RON",NA
"http://qudt.org/vocab/unit/CCY_RON-PER-KiloW-HR",NA
"http://qudt.org/vocab/unit/CCY_RSD",NA
"http://qudt.org/vocab/unit/CCY_RUB",NA
"http://qudt.org/vocab/unit/CCY_RWF",NA
"http://qudt.org/vocab/unit/CCY_SAR",NA
"http://qudt.org/vocab/unit/CCY_SBD",NA
"http://qudt.org/vocab/unit/CCY_SCR",NA
"http://qudt.org/vocab/unit/CCY_SDG",NA
"http://qudt.org/vocab/unit/CCY_SEK",NA
"http://qudt.org/vocab/unit/CCY_SEK-PER-KiloW-HR",NA
"http://qudt.org/vocab/unit/CCY_SGD",NA
"http://qudt.org/vocab/unit/CCY_SHP",NA
"http://qudt.org/vocab/unit/CCY_SKK",NA
"http://qudt.org/vocab/unit/CCY_SLE",NA
"http://qudt.org/vocab/unit/CCY_SOS",NA
"http://qudt.org/vocab/unit/CCY_SRD",NA
"http://qudt.org/vocab/unit/CCY_STN",NA
"http://qudt.org/vocab/unit/CCY_SYP",NA
"http://qudt.org/vocab/unit/CCY_SZL",NA
"http://qudt.org/vocab/unit/CCY_THB",NA
"http://qudt.org/vocab/unit/CCY_TJS",NA
"http://qudt.org/vocab/unit/CCY_TMT",NA
"http://qudt.org/vocab/unit/CCY_TND",NA
"http://qudt.org/vocab/unit/CCY_TOP",NA
"http://qudt.org/vocab/unit/CCY_TRY",NA
"http://qudt.org/vocab/unit/CCY_TTD",NA
"http://qudt.org/vocab/unit/CCY_TWD",NA
"http://qudt.org/vocab/unit/CCY_TZS",NA
"http://qudt.org/vocab/unit/CCY_UAH",NA
"http://qudt.org/vocab/unit/CCY_UGX",NA
